parti,nuance,1984,,1989,,1994,,1999,,2004,,2009,,2014,,2019,,2024,
,,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges,voix,sièges
"L'Europe ça suffit ! 
Les Patriotes, Via, la voie du peuple",extremedroite_droiteradicale,,,,,,,,,,,,,,,,,"0,93",0
"Lutte ouvrière le camp des travailleurs 
Lutte ouvrière, Combat ouvrier",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"0,49",0
"Écologie positive et territoires 
Écologie positive, Cap21, France Écologie, Le Trèfle - Les nouveaux écologistes, Les Universalistes, 100 % citoyens, Le Mouvement pour les animaux, Parti nationaliste basque",autre,,,,,,,,,,,,,,,,,"0,42",0
"Équinoxe : écologie pratique et renouveau démocratique 
Équinoxe",autre,,,,,,,,,,,,,,,,,"0,29",0
"Europe Territoires Écologie 
Parti radical de gauche, Régions et peuples solidaires, Volt France, Mouvement des progressistes, Mouvement des citoyens, Collectif des sociaux-démocrates réformateurs",centregauche_gauche,,,,,,,,,,,,,,,,,"0,26",0
"Pour un monde sans frontières ni patrons, urgence révolution ! 
Nouveau Parti anticapitaliste – Révolutionnaires",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"0,15",0
"Parti pirate 
Parti pirate",autre,,,,,,,,,,,,,,,,,"0,11",0
"Free Palestine 
Union des démocrates musulmans français",autre,,,,,,,,,,,,,,,,,"0,06",0
"Nous le peuple 
République souveraine, L'Appel au peuple",autre,,,,,,,,,,,,,,,,,"0,06",0
"Changer l'Europe 
Nouvelle Donne, Allons enfants",centregauche_gauche,,,,,,,,,,,,,,,,,"0,05",0
"Espéranto langue commune 
Europe Démocratie Espéranto",autre,,,,,,,,,,,,,,,,,"0,04",0
"PACE - Parti des citoyens européens, pour l'armée européenne, pour l'Europe sociale, pour la planète ! 
Parti des citoyens européens, La France a des Elles",autre,,,,,,,,,,,,,,,,,"0,03",0
"France Libre
France libre, Union de la Résistance, Alliance Révolutionnaire, Réflexions Interrogations Citoyennes, Politique de Vie, Mouvement Paix (MPAI7), Contre-Attack défense des droits Humains",autre,,,,,,,,,,,,,,,,,"0,02",0
"Défendre les enfants 
Sans parti[aj]",autre,,,,,,,,,,,,,,,,,"0,02",0
"Forteresse Europe — Liste d'unité nationaliste 
Les Nationalistes",autre,,,,,,,,,,,,,,,,,"0,02",0
"« Pour le pain, la paix, la liberté ! » présentée par le Parti des travailleurs 
Parti des travailleurs",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"0,02",0
"La ruche citoyenne 
La ruche citoyenne, Nouvelle organisation unie et solidaire, Coalition européenne, Résistance et liberté, Le Chapiteau",autre,,,,,,,,,,,,,,,,,"0,02",0
"Paix et décroissance
Écologie politique, pacifisme et objection de croissance, Brouette, Décroissance Elections",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"0,02",0
"Pour une autre Europe 
Fédération citoyenne",autre,,,,,,,,,,,,,,,,,"0,02",0
"Non à l'UE et à l'OTAN, communistes pour la paix et le progrès social 
Association nationale des communistes",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"0,01",0
"Non ! Prenons-nous en mains 
Rester libre",autre,,,,,,,,,,,,,,,,,"0,01",0
"Parti révolutionnaire Communistes 
Parti révolutionnaire Communistes",extremegauche_gaucheradicale,,,,,,,,,,,,,,,,,"0,01",0
"Pour une démocratie réelle : décidons nous-mêmes ! 
Décidons nous-mêmes !, Decidemos, Tout par le peuple, Démocratie Réelle, RIC-France, Culture-RIC, Oui au RIC",autre,,,,,,,,,,,,,,,,,"0,01",0
"Pour une humanité souveraine 
Changement citoyen",autre,,,,,,,,,,,,,,,,,0,0
"Liberté démocratique française 
Liberté démocratique française",autre,,,,,,,,,,,,,,,,,0,0
"Démocratie représentative 
Démocratie représentative",autre,,,,,,,,,,,,,,,,,0,0
